,1
数,127
源,25
托,25
google,1
code,1
to,2
sow,1
项目,55
文章,3
整理,1
谷,37
歌,38
黑板,2
黑板报,2
板报,2
载,21
浪潮,40
巅,8
吴,1
军,21
著,2
章节,13
发布,8
日期,1
章,53
帝国,15
余辉,6
ATT,164
蓝色,12
巨,35
IBM,388
水果,4
公司,2386
复兴,9
计算,342
计算机,297
算机,297
工业,155
生态,10
链,10
奔,10
芯,8
英特,257
英特尔,257
特尔,259
Intel,10
联网,197
金门,4
门桥,4
思科,179
硅谷,245
证,15
惠普,200
惠普公司,13
落,31
贵族,15
摩托,229
摩托罗拉,229
托罗,229
罗拉,229
面,213
十章,21
短暂,8
春秋,4
机,139
失,31
交臂,7
幕,7
英雄,12
风险,121
风险投资,97
投资,515
信息,79
信息产业,11
产业,56
规律,11
规律性,3
高科技,21
科技,229
摇篮,3
斯坦福,280
学,318
吹鼓,4
吹鼓手,4
鼓手,4
投资银行,37
银行,163
成功,211
转,32
基,192
印钞机,19
佳,19
商业,207
商业模式,70
模式,93
百年,50
总,99
幸运,16
意识,13
站,11
技术,325
革命,63
浪尖,6
旦,47
处,95
位置,12
做,309
事,149
波浪,2
前,338
漂,2
十年,348
甚,110
长,50
时间,149
间,47
代表,45
直,120
波,17
算,35
苹果,211
苹果公司,53
Apple,10
微软,407
Microsoft,5
思科公司,19
Cisco,5
雅虎,103
Yahoo,12
Google,237
先,40
推,58
领域,173
中间,10
衰落,20
正,64
度,33
辉煌,13
全球,76
全球性,4
统治,11
里面,43
外,78
时代,78
讲,220
次,221
保证,45
长盛,10
盛衰,10
生,81
样,379
足够,14
弄潮,3
年轻,53
潮,11
预测,9
未,37
难,130
现,260
许,87
悟,1
道理,16
愿意,44
空间,15
年,744
听,21
家,291
分享,4
谈谈,2
法,137
述,14
中,490
关键,47
物,13
认识,9
商业化,3
天,303
进步,35
商机,2
分开,5
提,84
间接,10
影响,68
KPCB,38
红杉,61
风,187
投,199
Sequoia,5
捧场,1
例,28
高盛,77
Goldman,6
Sachs,6
图片,2
十年代,155
年代,170
拍摄,1
美国,479
新泽西,1
新泽西州,1
泽西,1
西州,1
伦,12
翰,4
公园,4
Florham,1
Park,4
日落,1
片,22
占,138
十,161
平,21
公里,13
芳草,1
森林,2
中央,13
规模,53
湖,3
工业园,6
笔,51
美丽,6
里,252
天鹅,1
湖中,1
悠闲,1
游荡,1
时,671
野鹿,1
原,186
石油,21
巨头,6
埃克,4
埃克森,4
美孚,5
Exxon,2
Mobil,2
产,2
新,221
主,158
电报,3
电话,107
电话公司,3
实验,100
实验室,98
日,92
中天,4
重组,8
分裂,1
成,388
朗讯,51
NCR,3
属,29
举世,2
举世闻名,2
闻名,6
科研,21
科研机构,3
机构,30
贝尔,63
贝尔实验室,42
分,99
获,70
名称,10
划,7
研究,136
研究室,2
组成,5
名,46
香农,8
茉莉,2
山,4
Murray,1
Hills,1
搬,12
十位,10
诺贝,9
诺贝尔,9
诺贝尔奖,9
奖,22
颗,5
进入,85
晚年,1
恒星,1
爆发,3
强,60
辉,2
迅速,13
暗淡,1
SBC,4
法国,7
尔,96
卡特,4
购,37
实习,2
情绪,1
高,213
气氛,6
少,161
座位,1
旁,3
放,23
张,15
夕阳,1
想,114
似,16
预示,1
黄昏,2
说,149
世界,355
知,17
晓,1
父,3
亚山,1
∙,6
创,24
发明,99
建,39
实现,45
类,51
远程,4
实时,6
交,29
通信,151
早,79
事实,69
平民,1
平民百姓,1
民百,1
百姓,6
受益,6
龙头,3
收购,88
扩展,47
速度,79
远,57
想象,23
慢,16
生意,33
纽约,19
区,36
中部,2
芝加哥,3
分钟,21
通话,14
通话费,2
话费,4
两,188
美元,302
购买,27
购买力,2
相,157
国际,19
长途,14
美分,10
全国,6
旧金山,19
金山,19
电话费,1
高达,10
长途电话,11
业务,131
欧洲,52
研发,39
史,89
私,22
电信,16
电信业,7
垄断,83
垄断利润,3
利润,147
产值,5
百分,48
工作,149
长时间,28
需,131
费,86
发愁,5
条,41
理,209
吸引,11
优秀,22
科学,66
科学家,36
学家,42
长期,50
执牛耳,2
牛耳,2
射电,2
天文,4
天文学,1
文学,1
晶体,11
导体,104
计算机科学,2
领先,40
著名,72
身,58
包括,115
镜,2
电子,85
交换,13
交换机,9
换机,9
